ID,RealTitle,Content_data,Excerpt,Date,Post Type,Permalink,URL,Title,Caption,Description,Alt Text,Featured,URL,category_data,Etiquetas,_yoast_wpseo_is_cornerstone,_vc_post_settings,_my_meta_value_key,thm_highlight,thm_featured,thm_video,thm_video_source,_yoast_wpseo_content_score,_yoast_wpseo_primary_category,_post_views_count,_wp_old_slug,_dp_original,_oembed,_wp_old_date,Status,Author ID,Author Username,Author Email,Author First Name,Author Last Name,Slug,Format,Template,Parent,Parent Slug,Order,Comment Status,Ping Status,Post Modified Date,_oembed,_oembed,_oembed,_oembed,_oembed,_oembed,_oembed,_oembed,_oembed,_oembed,_oembed,_oembed,_oembed,_oembed,_oembed,_oembed,_oembed,_oembed
2205,Dolphins y Raiders presumen de Condiciones,"<span style=""font-weight: 400;"">El pasado sábado 5 de septiembre se llevo a cabo la fecha inaugural de la Copa Talento Colegial U18 Femenina. </span>

<span style=""font-weight: 400;"">El primer partido de la jornada lo disputaron las Dolphins del International School of Panama y las Raiders del Colegio Brader. Ambos equipos demostraron tener condiciones físicas suficientes para las nuevas dimensiones de cancha que, a diferencia del año pasado, las canchas tienen dimensiones oficiales.</span>

<span style=""font-weight: 400;"">Las dirigidas por Gustavo Aguiar manejaron bien los tiempos en el medio del campo gracias a la calidad de Samantha Rangel y generaron peligro constante cuando Peronico se sumaba al ataque. Por parte de las Raiders Isabel de Oliveira tuvo un partidazo poniendo en apuros en más de una oportunidad al cuadro defensivo de las Dolphins. </span>

<span style=""font-weight: 400;"">El único tanto del encuentro fue un autogol de Leticia Liakopulos que fue sorprendida por un centro muy cerrado de Samantha Rangel. De esta manera las Dolphins logran sus primeros tres puntos. </span>

<span style=""font-weight: 400;"">A segunda hora las Mustangs del Panamerican School vencieron 2 por 0 a su similar del Smart Academy. Dos goles de afuera del área de Julie Liakópulos bastaron para que las Mustangs se pusieran, momentáneamente, líderes del Grupo A. </span>

<b>Grupo B</b>

<span style=""font-weight: 400;"">El partido entre las Fighting Owls de la Academia Interamericana de Panamá y las Angels del Colegio St. Mary tuvo que ser suspendido al minuto 34 de tiempo corrido por mal tiempo (rayos y truenos) con un marcador parcial de 0 por 0. Pronto será anunciado que día se jugaran los 16 minutos restantes. </span>

<span style=""font-weight: 400;"">También fue suspendido, sin que se jugara ningún minuto, el partido entre el Colegio San Agustín y el Colegio Episcopal de Panamá.</span>",,09/08/2015,post,http://copatalento.com/dolphins-y-raiders-presumen-de-condiciones-2/,http://copatalento.com/wp-content/uploads/2015/09/MG_2439.jpg,_MG_2439,,,,http://copatalento.com/wp-content/uploads/2015/09/MG_2439.jpg,,Copa Talento,"copa talento,futbol,panama",,"a:2:{s:7:""vc_grid"";a:0:{}s:10:""vc_grid_id"";a:0:{}}",sidebar,1,0,,2,,,1248,bresaola-alcatra-boudin-andouille|river-stumble-as-cruzeiro-but-fly-high-in-table-proving-wrong-11,673,,,publish,5,mzuniga,mzuniga@atevosports.com,Copa,Talento,dolphins-y-raiders-presumen-de-condiciones-2,,,0,0,0,open,open,20150916,,,,,,,,,,,,,,,,,,
2207,"Arranca el Fútbol, Arrancan las Emociones","&nbsp;

&nbsp;

&nbsp;

&nbsp;

&nbsp;

<span style=""font-weight: 400;"">Con un total de 17 goles y 7 asistencias en 4 partidos arrancó la Fecha 1 de la Copa Talento Colegial U18 Masculina en el Estadio Maracaná. </span>

<b>GRUPO A </b>

<span style=""font-weight: 400;"">Por el Grupo A se enfrentaron a primera hora el Colegio San Agustín y el Colegio Isaac Rabin. Los Agustinianos lograron llevarse los tres puntos gracias a los tantos de Rainiero Salas por partida doble y Jacinto Alain a pase de Salas. El equipo dirigido por Ismael Flores arranca con paso firme en su búsqueda del título.</span>

<span style=""font-weight: 400;"">En el otro partido de este grupo el Instituto José Dolores Moscote le propino 4 goles al Colegio St. Mary. Diego Valanta (JDM) tuvo un partido de lujo contribuyendo en 2 de los 4 goles de su equipo.</span>

<span style=""font-weight: 400;"">Los otros dos equipos del Grupo A, Metropolitan School y Balboa Academy, aún no han debutado. El primer juego de los Jaguars será este domingo a las 3:35 p.m. en el Estadio de la Universidad de Panamá contra el Colegio San Agustín, mientras que los Dragons debutarán el sábado 12 de septiembre a las 10:35 a.m. en el Estadio Maracaná contra los Jaguars. </span>

<b>GRUPO B</b>

<span style=""font-weight: 400;"">El encuentro de inauguración de este grupo lo disputaron el Panamerican School y el Instituto Fermín Naudeau. Los Mustangs lograron imponerse al equipo Nodoista con goles de Juan José Moutran y Ernesto Tudela, el único tanto del Fermín lo anotó Derek Moreno. </span>

<span style=""font-weight: 400;"">Jair Carrasquilla y sus muchachos lograron sacar 3 puntos de oro para arrancar con el pie derecho la Copa. </span>

<span style=""font-weight: 400;"">Para finalizar la jornada tuvimos la goleada del Smart Academy al Colegio Real. Hector Centella, delantero de los Tigers, tuvo una gran actuación marcando 2 de los 4 tantos. </span>

<span style=""font-weight: 400;"">Los dos equipos restantes del Grupo, Academia Interamericana de Panamá y Colegio Episcopal, debutarán este domingo en la Universidad de Panamá. Los Owls jugarán a la 1:15 p.m. contra los Mustangs y los Tornadoes a las 2:25 p.m. contra los Tigers del Smart Academy.</span>

<a href=""http://copatalento.com/wp-content/uploads/2015/06/copatalento.jpg""><img class=""alignnone size-medium wp-image-1634"" src=""http://copatalento.com/wp-content/uploads/2015/06/copatalento-300x200.jpg"" alt=""copatalento"" width=""300"" height=""200"" /></a>

&nbsp;

&nbsp;

<a href=""http://copatalento.com/wp-content/uploads/2015/06/ads5.jpg""><img class=""alignnone wp-image-752 size-full"" src=""http://copatalento.com/wp-content/uploads/2015/06/ads5.jpg"" alt=""ads5"" width=""750"" height=""90"" /></a>

&nbsp;",,09/03/2015,post,http://copatalento.com/arranca-el-futbol-arrancan-las-emociones-2/,http://copatalento.com/wp-content/uploads/2015/06/copatalento.jpg,copatalento,,,,http://copatalento.com/wp-content/uploads/2015/06/copatalento.jpg,,Copa Talento,"copa talento,futbol,panama",,"a:2:{s:7:""vc_grid"";a:0:{}s:10:""vc_grid_id"";a:0:{}}",sidebar,1,0,,2,,,1229,bresaola-alcatra-boudin-andouille|river-stumble-as-cruzeiro-but-fly-high-in-table-proving-wrong-11,2205,,,publish,5,mzuniga,mzuniga@atevosports.com,Copa,Talento,arranca-el-futbol-arrancan-las-emociones-2,,,0,0,0,open,open,20150909,,,,,,,,,,,,,,,,,,
2212,Noble logra un punto de oro para el CIR,"<span style=""font-weight: 400;"">Partido complicado para los chicos del Isaac Rabin que se enfrentaban, en la Fecha 2 de la Copa Talento Colegial, al Instituto José Dolores Moscote. Los del Moscote venían de propinarle una goleada de 4 a 0 al St. Mary, mientras que el Isaac Rabin perdió en la fecha inaugural 3 por 1 ante el Colegio San Agustín. </span>

<span style=""font-weight: 400;"">A las 4:45 p.m. del domingo 6 de septiembre Jafeth Perea hizo sonar su silbato y se puso el balón en movimiento en el Estadio Oscar Suman Carrillo. El partido arrancaba con un Dolores Moscote más dominador y un Isaac Rabin defendiendo con mucho orden. Los dirigidos por Edgardo Concepción sabían que el partido se definiría por pequeños detalles, por esa misma razón durante el transcurso del juego dosificaron esfuerzos y jugaron inteligentemente.  El peligro ofensivo del Isaac Rabin lo generaba su número 9 David Bonet que ponía en aprietos al cuadro dirigido por Carlos Justiniani cada vez que tenía la bola en sus pies.</span>

<span style=""font-weight: 400;"">El Moscote encontraría el gol en el primer tiempo luego de que Diego Valanta tocara en corto con Guillermo Espino y este, desde fuera del área, metiera el balón en las redes de la portería defendida por Carlos Lander.  Valanta y Tamayo jugaron un gran partido en el medio del campo generando con regularidad jugadas de peligro.</span>

<span style=""font-weight: 400;"">En el segundo tiempo vimos un poco más de lo mismo, el Moscote dominador y el Isaac Rabin robando balón y aprovechando bien las contras, a destacar la actuación de Guillermo Ferrer en el medio del campo que fue una verdadera aspiradora. </span>

<span style=""font-weight: 400;"">El partido parecía decantarse por los grises pero en el minuto 47’ Jafeth Perea pito una falta a favor del Isaac Rabin. Ricardo Ramos fue el encargado de ejecutar el libre directo que Jonathan Woodley, portero del Moscote, no pudo controlar y dio rebote que quedaría para la cabeza de Ezequiel Noble, que in extremis, le daría el punto de oro al Colegio Isaac Rabin.</span>

<span style=""font-weight: 400;"">Ahora el </span><b>Grupo A</b><span style=""font-weight: 400;""> queda con el Colegio San Agustín a la cabeza con 6 puntos (luego de la contundente victoria 4 por 0 al Metropolitan School en el tercer partido de la Fecha 2), el Dolores Moscote con 4, Isaac Rabín con  1 y St. Mary, Metropolitan y Balboa con 0 puntos. Es oportuno aclarar que los Dragons aún no han debutado en la Copa. </span>

<b>Grupo B</b>

<span style=""font-weight: 400;"">El Smart Academy y Colegio Episcopal empatan a uno. Los Tigers pierden a su portero titular luego de ser expulsado del encuentro con tarjeta roja. </span>

<span style=""font-weight: 400;"">Panamerican School y Academia tendrán que reponer su partido luego de que fuera suspendido a causa de tormenta eléctrica.</span>

&nbsp;

<span style=""font-weight: 400;""><a href=""http://copatalento.com/wp-content/uploads/2015/09/MG_0810.jpg""><img class=""alignnone size-medium wp-image-2215"" src=""http://copatalento.com/wp-content/uploads/2015/09/MG_0810-300x200.jpg"" alt=""_MG_0810"" width=""300"" height=""200"" /></a> </span>",,09/08/2015,post,http://copatalento.com/2212/,http://copatalento.com/wp-content/uploads/2015/09/MG_0810.jpg,_MG_0810,,,,http://copatalento.com/wp-content/uploads/2015/09/MG_0810.jpg,,U18 Masculino 2018,"copa talento,futbol,panama",,"a:2:{s:7:""vc_grid"";a:0:{}s:10:""vc_grid_id"";a:0:{}}",sidebar,0,0,,1,,,644,,,,,publish,5,mzuniga,mzuniga@atevosports.com,Copa,Talento,2212,,,0,0,0,open,open,20150911,,,,,,,,,,,,,,,,,,
3191,Se definen los Grupos de la U18,"Luego de un sorteo lleno de emociones, se confirma que equipos irán en cada grupo tanto de la categoría femenina como masculina.

Arranquemos con las chicas que quedaron de esta manera:

<strong>Grupo A:</strong>                                                                           <strong>Grupo B:</strong>

ISP Dolphins                                                                       Colegio St. Mary

Brader Raiders                                                                   AIP Fighting Owls

Panamerican Mustangs                                                    Colegio San Agustín

Smart Academy Tigers                                                     Colegio Episcopal Tornadoes

Balboa Dragons                                                                  Colegio Real Lions

&nbsp;

El B se convierte en el denominado “grupo de la muerte” integrado por las actuales campeonas, las chicas del Colegio San Agustín y las Lions y Owls que ocuparon el tercer y cuarto lugar respectivamente.

En el Grupo A tenemos como favoritas a las actuales sub-campeonas, las Dolphins del International School of Panama, pero no debemos dejar atrás a las Raiders y Dragons que vienen con equipos con la media de edad más baja de la Copa.

Ahora le toca el turno a los chicos. Así quedaron divididos los grupos:

<strong>Grupo A:</strong>                                                                         <strong>Grupo B:</strong>

Colegio San Agustín                                                        Colegio Episcopal Tornadoes

Colegio Isaac Rabin                                                         AIP Fighting Owls

Metropolitan Jaguars                                                     Smart Academy Tigers

Balboa Dragons                                                               Colegio Real Lions

Colegio St. Mary                                                              Instituto Fermín Naudeau

Instituto José Dolores Moscote                                   Panamerican Mustangs

Sin duda será una temporada llena de pasión y mucho fútbol. A partir del Martes 1 de septiembre arranca el camino para llevarse la Copa Talento Colegial. ¿Qué equipo se llevará la gloria eterna? Síguenos en nuestras redes y entérate cuando juega tu equipo favorito y no dejes de ir a los estadios a apoyar.

&nbsp;

<a href=""http://copatalento.com/wp-content/uploads/2015/06/ads5.jpg""><img class=""alignnone wp-image-752 size-full"" src=""http://copatalento.com/wp-content/uploads/2015/06/ads5.jpg"" alt=""ads5"" width=""750"" height=""90"" /></a>

&nbsp;",,09/08/2015,post,http://copatalento.com/arranca-el-futbol-arrancan-las-emociones/,http://copatalento.com/wp-content/uploads/2015/08/be7685026070406a215779b242f1aa2e_L.jpg,be7685026070406a215779b242f1aa2e_L,,,,http://copatalento.com/wp-content/uploads/2015/08/be7685026070406a215779b242f1aa2e_L.jpg,,Copa Talento,"copa talento,futbol,panama",,"a:2:{s:7:""vc_grid"";a:0:{}s:10:""vc_grid_id"";a:0:{}}",sidebar,1,0,,2,,,1226,bresaola-alcatra-boudin-andouille|river-stumble-as-cruzeiro-but-fly-high-in-table-proving-wrong-11,2207,,,publish,5,mzuniga,mzuniga@atevosports.com,Copa,Talento,arranca-el-futbol-arrancan-las-emociones,,,0,0,0,open,open,20150909,,,,,,,,,,,,,,,,,,
3195,"GRAN FINAL U12 Masculino, Lions logran su primer Título","La Fecha Final de la Copa Talento Colegial categoría U12 Masculina estuvo cardiaca. Los aficionados disfrutaron de partidos de altísima calidad e intensidad. A continuación un pequeño resumen de lo que fue la fecha final.

<strong>3er y 4to Lugar</strong>

<strong>Panamerican School 2 Thomas Jefferson School 1</strong>

Los Mustangs del Panamerican School lograron quedarse con el tercer lugar de la Copa Talento, cerrando de esta manera una temporada memorable donde estuvieron muy cerca de jugar la Gran Final.

Los goles de los de rojo fueron anotados por Alejandro Liakópulos y Vicente Shannon. El único gol del Thomas Jefferson lo marcó Yamal Chauchar.

&nbsp;

<strong>GRAN FINAL</strong>

<strong>Colegio Real de Panamá 5 Colegio Brader 4</strong>

Partidazo digno de una final. Sin dudas una de las mejores finales de la Copa Talento Colegial.

Los Raiders habían pasado directo a las semifinales y para llegar a la final ganaron por goleada de 5 a 0 a los Panthers del Thomas Jefferson School. Los Lions tuvieron que jugar Wildcard contra el Colegio de Panamá, donde vencieron 7 por 4 y en la semis se enfrentaron a los Mustangs, este partido quedo 3 a 2 lo que les dio a los Lions el pase a la gran final.

El partido arrancó con mucho nerviosismo por parte de ambos equipos. Tanto los Lions como los Raiders buscaban sorprender a los porteros con tiros directos desde el saque de meta. Poco a poco fue mejorando el futbol y los equipos se atrevían a hacer jugadas colectivas, arriesgaban un poco más.

Jean L. Ducruet luego de un gran pase de Joly ponía de cabeza el 1-0. No tardó mucho la reacción de los Lions y Almanza (mejor mediocampista de la Copa) con un potente disparo de larga distancia empataba el encuentro. El 2-1 llegaría nuevamente gracias a Ducruet que esta vez aprovechaba el centro de Alberto Saénz para marcar el segundo en su cuenta personal. Así nos íbamos al medio tiempo.

Solo arrancar el segundo tiempo, los Lions empataban el partido gracias a un cabezazo de Jac Deane a pase de Carlos Mario Troncoso (MVP de la Copa). Solo unos minutos más tarde, en una jugada desafortunada, Deane marca en propia puerta y los Raiders se ponía arriba 3 a 2. El campeonato parecía que ya tenía dueño luego de que Fidel Reyes marcara el 4-2.

El tiempo se le acababa a Martín Longinos (DT de los Lions) y sus chicos, solo quedaban 5 minutos en el reloj de Jafeth Perea (arbitro central para este encuentro). Diego Julio le daría esperanzas a los Lions marcando el 4-3 y Troncoso un minuto después de que su compañero marcara el descuento, anota con un zurdazo rasante a segundo palo, el empate a 4. Los aficionados enloquecieron y el Colegio Real experimentó una subida emocional brutal.

José Emilio Almanza pondría el definitivo 5 a 4 y los Lions lograban su primer título de la Copa Talento Colegial, en la que fue la remontada más histórica en una final de la Copa Talento. ¡Gracias Colegio Brader! ¡Gracias Colegio Real! Nos regalaron un partidazo.

&nbsp;

<a href=""http://copatalento.com/wp-content/uploads/2015/06/ads5.jpg""><img class=""alignnone wp-image-752 size-full"" src=""http://copatalento.com/wp-content/uploads/2015/06/ads5.jpg"" alt=""ads5"" width=""750"" height=""90"" /></a>

&nbsp;",,09/08/2015,post,http://copatalento.com/se-definen-los-grupos-de-la-u18/,http://copatalento.com/wp-content/uploads/2015/09/MG_2439-1024x683333.jpg,MG_2439-1024x683333,,,,http://copatalento.com/wp-content/uploads/2015/09/MG_2439-1024x683333.jpg,,Copa Talento,"copa talento,futbol,panama",,"a:2:{s:7:""vc_grid"";a:0:{}s:10:""vc_grid_id"";a:0:{}}",sidebar,1,0,,2,,,1371,bresaola-alcatra-boudin-andouille|river-stumble-as-cruzeiro-but-fly-high-in-table-proving-wrong-11,3191,,,publish,1,gregesf,gregesf@bluetideconsulting.com,,,se-definen-los-grupos-de-la-u18,,,0,0,0,open,open,20150909,,,,,,,,,,,,,,,,,,
3379,Derteano dirige la Orquesta,"El pasado martes 8 de septiembre las Fighting Owls vencieron de manera contundente a las actuales campeonas de la Copa Talento Colegial, el Colegio San Agustín, 3 goles a 1.

&nbsp;

Las dirigidas por Victor Suarez desplegaron un fútbol vertical de toques rápidos en profundidad para aprovechar la velocidad por banda de Maria Cristina Guizado y Sofia Brandelik. La encargada de la distribución del balón fue Ximena Derteano que supo controlar los tiempos perfectamente y pudo, además, ser precisa en sus pases.

&nbsp;

Al minuto 21” de tiempo corrido el Colegio San Agustín se ponía arriba en el marcador después de que Davisel Camaño cobrara un corner y se formara un enredo en el área que Ana Gabriela Cardenas logra concretar mandando el balón a las redes. Justo antes de que Melissa Perez pusiera fin al primer tiempo, Guizado aprovecha un pase de Derteano y pone el empate a uno.

&nbsp;

Ya en el segundo tiempo las Owls fueron más dominadores y lograron marcar en dos ocasiones, Guizado en el 33” y Sánchez en el 38. Con esta victoria las Owls logran sus primeros 3 puntos.

&nbsp;

En el otro encuentro del <strong>Grupo B </strong>las Lions vencieron por la mínima al Colegio St Mary con gol de tiro libre de Anabella Valero.

&nbsp;

<strong>Grupo A</strong>

<strong> </strong>

Las ISP Dolphins se afianzan en el liderato luego de vencer 1 por 0 a su similar del Balboa Academy. Samantha Rangel fue la anotadora del único tanto desde la vía del libre directo.

&nbsp;

Las Raiders vencen 1 por 0 a las Mustangs con gol de Isabel de Oliveira. El Colegio Brader suma, luego de su derrota el fin de semana contra las Dolphins, sus primeros 3 puntos.",,09/08/2015,post,http://copatalento.com/derteano-dirige-la-orquesta/,http://copatalento.com/wp-content/uploads/2015/09/Canon-EOS-7D534-copia.jpg,Canon EOS 7D534 copia,,,,http://copatalento.com/wp-content/uploads/2015/09/Canon-EOS-7D534-copia.jpg,,U18 Femenino 2015,"copa talento,futbol,panama",,"a:2:{s:7:""vc_grid"";a:0:{}s:10:""vc_grid_id"";a:0:{}}",sidebar,0,0,,1,,,1095,,,,,publish,5,mzuniga,mzuniga@atevosports.com,Copa,Talento,derteano-dirige-la-orquesta,,,0,0,0,open,open,20150914,,,,,,,,,,,,,,,,,,
3440,"Rangel: ""Esta vez vamos con todo""","En una entrevista realizada a Samantha Rangel el domingo 12 de septiembre luego de la victoria de su equipo 2 por 0 al Panamerican School, la 10 de las Dolphins nos contó las ganas que tiene el equipo de llevarse el título y lo importante que han sido las nuevas integrantes.

&nbsp;

Rangel nos cuenta que empezaron practicas hace poco más de un mes y es que el equipo tiene ganas de quitarse ese sabor amargo que les dejo el segundo lugar del torneo la temporada pasada, “esta vez vamos con todo. Queremos llevarnos la copa, no nos interesa el segundo lugar” nos dijo con mucha determinación. También destaco la importancia de los refuerzos de esta temporada: “tenemos jugadoras nuevas como Ana [Ana Carolina Peronico] que están ayudando mucho al equipo.”

&nbsp;

Sin duda las Dolphins siguen con paso firme en la Copa Talento U18, luego de sumar 9 puntos, 4 goles a favor y 0 en contra. Sería mentira decir que este equipo no es uno de los favoritos a llevarse el título.

&nbsp;

En el otro partido del <strong>Grupo A</strong> las Dragons vencieron 4 por 0 a las Tigers. Adriana Caballero marcó hattrick para el equipo dirigido por Josselyn Montilla

&nbsp;

Mientras que en el <strong>Grupo B</strong> las Lions del Colegio Real siguen invictas luego de vencer por la mínima, con gol de Daniela Carreño, al Colegio Episcopal.

Para cerrar la tarde, las chicas del Colegio San Agustín derrotaron 7 goles por 0 a su similar del Colegio St. Mary. Se notó el regreso de Rosario Vargas, que se había perdido el primer partido del grupo contra las Fighting Owls. Además la MVP del 2014, Estefanía Salas, marcó sus primeros tres goles de la temporada.",,09/08/2015,post,http://copatalento.com/rangel-esta-vez-vamos-con-todo-2/,http://copatalento.com/wp-content/uploads/2015/09/12006586_1017412168310490_3271247319810177146_o.jpg,12006586_1017412168310490_3271247319810177146_o,,,,http://copatalento.com/wp-content/uploads/2015/09/12006586_1017412168310490_3271247319810177146_o.jpg,,U18 Femenino 2015,"copa talento,futbol,panama",,"a:2:{s:7:""vc_grid"";a:0:{}s:10:""vc_grid_id"";a:0:{}}",sidebar,0,0,,1,,,886,,,,,publish,5,mzuniga,mzuniga@atevosports.com,Copa,Talento,rangel-esta-vez-vamos-con-todo-2,,,0,0,0,open,open,20150914,,,,,,,,,,,,,,,,,,
3442,El Fermín se saca la espinita,"El equipo dirigido por el Profesor José Moreno llegaba con la responsabilidad de sumar sus primeros puntos del torneo luego de caer en la fecha inaugural 2 por 1 contra los Mustangs del Panamerican School.

&nbsp;

Los nodoistas asimilaron bien la presión y vencieron arrolladoramente al Colegio Episcopal 6 goles a 0. Dos tantos de Abdiel Diaz, dos de Abdiel Dugood, uno de Bryan Walcott y otro de Raúl Morán (que también regaló 3 asistencias) fueron más que suficientes para lograr sus primeros tres puntos del torneo. El Fermín logra sacarse la espinita.

&nbsp;

En el otro partido del <strong>Grupo B</strong> los Fighting Owls y los Lions empataron a 2 y también sumaron sus primeros puntos de la Copa. Anthony Bilantuono tuvo un gran partido asistiendo en los dos tantos de los Owls.

&nbsp;

El <strong>Grupo A</strong> vio como el equipo que faltaba por debutar, los Dragons del Balboa Academy, goleaba 4 goles por 0 a los Jaguars del Metropolitan School. Gran partido de Ben Ashkenazi con dos tantos y de Julio Quijano, que participo en uno de los goles asistiendo y en otro marcando de libre directo.

En el último encuentro de la tarde el Colegio San Agustín se afianzó en lo más alto de la tabla luego de vencer 2 por 0 al Colegio St. Mary. El partido estuvo muy reñido pero una genialidad de Rainiero Salas en el 38"" del segundo tiempo abriría el marcador para los dirigidos por Ismael Flores.",,08/21/2015,post,http://copatalento.com/el-fermin-se-saca-la-espinita-2/,http://copatalento.com/wp-content/uploads/2015/09/MG_4457-copia1.jpg,_MG_4457 copia,,,,http://copatalento.com/wp-content/uploads/2015/09/MG_4457-copia1.jpg,,U18 Masculino 2018,"copa talento,futbol,panama",,"a:2:{s:7:""vc_grid"";a:0:{}s:10:""vc_grid_id"";a:0:{}}",sidebar,0,0,,1,,,1012,,,,,publish,5,mzuniga,mzuniga@atevosports.com,Copa,Talento,el-fermin-se-saca-la-espinita-2,,,0,0,0,open,open,20150915,,,,,,,,,,,,,,,,,,
3923,Marotta le da vida al St. Mary,"Partidazo de la número 10 del Colegio St. Mary que definió, ella sola, el partido del pasado martes contra las Tornadoes del Colegio Episcopal de Panamá. Caterina abrió el marcador en el minuto 15', luego en el 29' del segundo tiempo, Maria Fernanda Arango del Episcopal pondría el 1-1 y en los minutos finales Marotta definiría el encuentro con sendos goles en el 41' y 49'.

&nbsp;

Ahora, las dirigidas por Luis Armando Nuñez deberán ganarle a las Fighting Owls de la Academia para aspirar a la siguiente ronda. Marotta le da vida al St. Mary.

&nbsp;

En el otro partido del <strong>Grupo B</strong> las Lions del Colegio Real y Owls empataron a cero. Este resultado pone a las Lions primeras de grupo, Owls segundas y San Agustín y St. Mary empatadas en la tercera posición con ventaja para las vino tinto por la diferencia de goles.

&nbsp;

Por el <strong>Grupo A</strong> se enfrentaron las Tigers del Smart Academy contra las Dolphins del ISP partido que terminaría en goleada 5 por 0 de las Dolphins. Con este resultado las dirigidas por Gustavo Aguiar se clasifican matemáticamente a semifinales.",,06/23/2015,post,http://copatalento.com/marotta-le-da-vida-al-st-mary/,http://copatalento.com/wp-content/uploads/2015/09/15-9-61-copia.jpg,15-9 (61) copia,,,,http://copatalento.com/wp-content/uploads/2015/09/15-9-61-copia.jpg,,U18 Femenino 2015,"copa talento,futbol,panama",,"a:2:{s:7:""vc_grid"";a:0:{}s:10:""vc_grid_id"";a:0:{}}",sidebar,0,0,,1,,,1238,,,,,publish,5,mzuniga,mzuniga@atevosports.com,Copa,Talento,marotta-le-da-vida-al-st-mary,,,0,0,0,open,open,20150917,,,,,,,,,,,,,,,,,,
3989,Los Mustangs amanecen líderes,"En el tercer partido de la Jornada 4 los Mustangs del Panamerican School vencieron 3 por 0 al Colegio Real de Panamá. Con este resultado los dirigidos por Jair Carrasquilla suman 6 puntos y se posicionan en lo más alto del Grupo B.

&nbsp;

Andrés Frauca en dos oportunidades (38' y 48') y Moutran en el 42' fueron los goleadores del encuentro. Los Mustangs mantienen el ritmo luego de tener un descanso prolongado por culpa de la suspensión de su partido, hace una semana y media, contra los Fighting Owls de la Academia, partido que se llevará a cabo el miércoles 30 de septiembre a las 8:20 p.m. en el Estadio Maracaná.

&nbsp;

Luego, en el otro partido correspondiente al <strong>Grupo B</strong> los Owls vencieron por la mínima y desde los 11 metros al Smart Academy de Panamá.

&nbsp;

En el <strong>Grupo A</strong> el Dolores Moscote, de la mano de Diego Valanta, venció 5 por 2 al Balboa Academy. Los de gris se mantienen, con 7 puntos, en la segunda posición del grupo. También vimos al Isaac Rabin sumar de a tres luego de que Ricardo Ramos, de tiro libre, pusiera el 1 por 0 definitivo contra el Metropolitan School.",,09/10/2015,post,http://copatalento.com/los-mustangs-amanecen-lideres/,http://copatalento.com/wp-content/uploads/2015/09/MG_2495-copia.jpg,_MG_2495 copia,,,,http://copatalento.com/wp-content/uploads/2015/09/MG_2495-copia.jpg,,U18 Masculino 2018,"copa talento,futbol,panama",,"a:2:{s:7:""vc_grid"";a:0:{}s:10:""vc_grid_id"";a:0:{}}",sidebar,0,0,,1,,,925,,,,,publish,5,mzuniga,mzuniga@atevosports.com,Copa,Talento,los-mustangs-amanecen-lideres,,,0,0,0,open,open,20150921,,,,,,,,,,,,,,,,,,
